county_name,county_fips,state_name,state_code,winner_202,margin_2020,margin_trump_2016,margin_obama_2012,margin_obama_2008
Woodruff,5147,Arkansas,AR,Trump,27.75,8.91,4.21,7.46
Conejos,8021,Colorado,CO,Trump,7.55,3.56,9.22,12.93
Huerfano,8055,Colorado,CO,Trump,2.88,6.61,8.27,11.23
Las Animas,8071,Colorado,CO,Trump,9.89,15.6,2.65,7.04
Pueblo,8101,Colorado,CO,Biden,1.72,0.5,13.99,14.97
Windham,9015,Connecticut,CT,Trump,4.27,7.78,13.28,14.68
Kent,10001,Delaware,DE,Biden,4.07,4.87,4.94,9.81
Jefferson,12065,Florida,FL,Trump,6.87,5.06,1.75,3.66
Monroe,12087,Florida,FL,Trump,7.92,6.82,0.44,4.9
Pinellas,12103,Florida,FL,Biden,0.22,1.11,5.65,8.25
Baker,13007,Georgia,GA,Trump,15.76,8.68,0.57,1.07
Dooly,13093,Georgia,GA,Trump,6.04,2.05,6.98,3.53
Peach,13225,Georgia,GA,Trump,4.64,2.91,7.48,6.75
Quitman,13239,Georgia,GA,Trump,9.67,10.92,9.04,7.9
Twiggs,13289,Georgia,GA,Trump,7.34,1.58,8.64,6.97
Alexander,17003,Illinois,IL,Trump,14.17,8.3,13.65,12.62
Carroll,17015,Illinois,IL,Trump,29.49,26.69,1.49,4.81
Fulton,17057,Illinois,IL,Trump,27.51,14.93,11.04,21.33
Henderson,17071,Illinois,IL,Trump,33,28.43,12.25,17.67
Henry,17073,Illinois,IL,Trump,21.48,20.99,3.08,7.74
Jo Daviess,17085,Illinois,IL,Trump,16.54,14.64,1.16,10.49
Knox,17095,Illinois,IL,Trump,6.15,2.91,17.37,19.89
Mercer,17131,Illinois,IL,Trump,24.18,20.36,7.39,11.91
Putnam,17155,Illinois,IL,Trump,20,19.92,1.82,15.64
Warren,17187,Illinois,IL,Trump,20.01,16.5,5.47,8.08
Whiteside,17195,Illinois,IL,Trump,8.35,6.18,17.02,17.56
Delaware,18035,Indiana,IN,Trump,13.18,13.43,3.12,14.98
Perry,18123,Indiana,IN,Trump,24.56,18.55,11.59,22.84
Porter,18127,Indiana,IN,Trump,6.08,6.59,3.9,7.2
Vigo,18167,Indiana,IN,Trump,14.73,14.97,0.86,15.83
Allamakee,19005,Iowa,IA,Trump,29.09,24.15,4.17,14.25
Boone,19015,Iowa,IA,Trump,15.59,13.69,6.64,7.63
Bremer,19017,Iowa,IA,Trump,16.06,13.68,2.68,9.31
Buchanan,19019,Iowa,IA,Trump,20.89,15.02,13.87,18.48
Cedar,19031,Iowa,IA,Trump,17.04,17.78,4.59,9.64
Cerro Gordo,19033,Iowa,IA,Trump,6.31,7.66,13.38,20.83
Chickasaw,19037,Iowa,IA,Trump,31.29,22.94,11.07,20.74
Clarke,19039,Iowa,IA,Trump,35.93,28.02,1.47,2.25
Clayton,19043,Iowa,IA,Trump,28.83,22.78,7.03,17.17
Clinton,19045,Iowa,IA,Trump,10.33,5.12,22.84,23.03
Des Moines,19057,Iowa,IA,Trump,8.51,6.89,18.41,23.04
Dubuque,19061,Iowa,IA,Trump,2.89,1.23,14.71,20.77
Fayette,19065,Iowa,IA,Trump,22.68,19.36,11.96,16.6
Floyd,19067,Iowa,IA,Trump,19.42,14.84,14.63,21.88
Howard,19089,Iowa,IA,Trump,27.33,20.49,20.95,25.78
Jackson,19097,Iowa,IA,Trump,26.14,19.27,16.89,24.39
Jasper,19099,Iowa,IA,Trump,21.54,18.13,7.07,7.5
Jefferson,19101,Iowa,IA,Trump,1.38,0.47,15.97,20.23
Jones,19105,Iowa,IA,Trump,21.47,19.08,7.78,10.4
Lee,19111,Iowa,IA,Trump,19.31,16.02,15.49,16.01
Louisa,19115,Iowa,IA,Trump,33.27,28.37,0.64,4.25
Marshall,19127,Iowa,IA,Trump,7.69,8.31,9.36,9.35
Mitchell,19131,Iowa,IA,Trump,27.89,24.04,3.37,12.31
Muscatine,19139,Iowa,IA,Trump,7.02,6.26,15.88,15.64
Poweshiek,19157,Iowa,IA,Trump,13.32,6.53,9.35,11.75
Tama,19171,Iowa,IA,Trump,19.08,20.28,7.43,12.19
Union,19175,Iowa,IA,Trump,31.51,27.49,3.86,3.7
Wapello,19179,Iowa,IA,Trump,23.64,20.6,11.88,13.53
Webster,19187,Iowa,IA,Trump,24.27,21.52,5.84,8.51
Winneshiek,19191,Iowa,IA,Trump,5.12,0.79,14.74,22.65
Worth,19195,Iowa,IA,Trump,25.85,21.68,14.53,22.42
Elliott,21063,Kentucky,KY,Trump,51.22,44.13,2.5,25.17
Androscoggin,23001,Maine,ME,Trump,2.81,9.38,12.78,15.22
Aroostook,23003,Maine,ME,Trump,19,17.19,7.62,9.58
Franklin,23007,Maine,ME,Trump,4,5.47,18.41,20.29
Kennebec,23011,Maine,ME,Biden,0.25,3.58,13.46,14.78
Oxford,23017,Maine,ME,Trump,8.84,12.94,14.73,16.04
Penobscot,23019,Maine,ME,Trump,8.13,10.91,2.93,5.12
Somerset,23025,Maine,ME,Trump,23.14,22.67,1.68,5.7
Washington,23029,Maine,ME,Trump,19.73,18.44,1.6,1.01
Bay,26017,Michigan,MI,Trump,11.57,12.55,5.56,15.31
Calhoun,26025,Michigan,MI,Trump,11.08,12.46,1.6,9.36
Eaton,26045,Michigan,MI,Trump,0.78,4.72,3.13,8.4
Gogebic,26053,Michigan,MI,Trump,12.46,14.8,8.1,17.27
Isabella,26073,Michigan,MI,Trump,2.52,3.66,9.28,19.26
Lake,26085,Michigan,MI,Trump,26.18,22.77,5.01,12.28
Macomb,26099,Michigan,MI,Trump,8.08,11.53,3.99,8.62
Manistee,26101,Michigan,MI,Trump,15.11,15.29,5.93,13.26
Monroe,26115,Michigan,MI,Trump,22.65,21.97,0.98,4.35
Saginaw,26145,Michigan,MI,Biden,0.29,1.13,11.89,17.34
Shiawassee,26155,Michigan,MI,Trump,19.87,19.59,3.67,8.59
Van Buren,26159,Michigan,MI,Trump,12.24,13.92,0.45,8.78
