GEOID,County,Donald J. Trump,Joe R. Biden,Jo Jorgensen,Don_Per,Joe_Per,Don_MOV,Joe_MOV,Total_Pres,David A. Purdue,Jon Ossoff,Pur_Per,Oss_Per,Pur_MOV,Oss_MOV,Total_Sen1,Kelly Loeffler,Raphael Warnock,Others,Loe_Per,War_Per,Loe_MOV,War_MOV,Total_Sen2
13001,Appling,6526,1779,36,78.24,21.32,56.919999999999995,-56.919999999999995,8341,6306,1753,77.02,21.41,55.61,-55.61,8187,1807,1051,5301.0,22.14,12.88,9.26,-9.26,8159
13003,Atkinson,2300,825,30,72.9,26.14,46.760000000000005,-46.760000000000005,3155,2272,773,73.36,24.95,48.41,-48.41,3097,946,406,1643.0,31.58,13.55,18.029999999999998,-18.029999999999998,2995
13005,Bacon,4018,625,25,86.07,13.38,72.69,-72.69,4668,3929,591,85.59,12.87,72.72,-72.72,4590,1547,315,2650.0,34.28,6.98,27.3,-27.3,4512
13007,Baker,897,652,6,57.68,41.92,15.759999999999998,-15.759999999999998,1555,873,648,56.91,42.24,14.669999999999995,-14.669999999999995,1534,413,457,644.0,27.27,30.18,-2.91,2.91,1514
13009,Baldwin,8903,9140,208,48.78,50.07,-1.2899999999999991,1.2899999999999991,18251,8873,8783,49.07,48.57,0.5,-0.5,18082,4639,6167,7136.0,25.85,34.37,-8.519999999999996,8.519999999999996,17942
13011,Banks,7795,932,74,88.56,10.58,77.98,-77.98,8801,7636,899,87.51,10.3,77.21000000000001,-77.21000000000001,8725,2605,604,5470.0,30.01,6.95,23.060000000000002,-23.060000000000002,8679
13013,Barrow,26804,10453,664,70.68,27.56,43.120000000000005,-43.120000000000005,37921,26317,10066,70.03,26.78,43.25,-43.25,37576,14483,6025,16682.0,38.94,16.2,22.74,-22.74,37190
13015,Bartow,37674,12092,701,74.65,23.96,50.690000000000005,-50.690000000000005,50467,37009,11664,73.96,23.31,50.64999999999999,-50.64999999999999,50034,21183,7655,20781.0,42.69,15.42,27.269999999999996,-27.269999999999996,49619
13017,Ben Hill,4110,2392,58,62.65,36.46,26.189999999999998,-26.189999999999998,6560,4077,2284,62.94,35.26,27.68,-27.68,6477,1780,1308,3356.0,27.62,20.29,7.330000000000002,-7.330000000000002,6444
13019,Berrien,6419,1269,55,82.9,16.38,66.52000000000001,-66.52000000000001,7743,6286,1204,82.16,15.73,66.42999999999999,-66.42999999999999,7650,3318,701,3546.0,43.85,9.26,34.59,-34.59,7565
13021,Bibb,26585,43468,749,37.54,61.39,-23.85,23.85,70802,26645,41928,38.07,59.9,-21.83,21.83,69987,14584,30896,24460.0,20.85,44.17,-23.32,23.32,69940
13023,Bleckley,4328,1311,67,75.84,22.97,52.870000000000005,-52.870000000000005,5706,4281,1249,75.85,22.12,53.72999999999999,-53.72999999999999,5644,2133,876,2604.0,38.0,15.6,22.4,-22.4,5613
13025,Brantley,6991,699,56,90.25,9.02,81.23,-81.23,7746,6812,688,89.44,9.03,80.41,-80.41,7616,2410,236,4742.0,32.62,3.19,29.429999999999996,-29.429999999999996,7388
13027,Brooks,4260,2790,50,60.0,39.29,20.71,-20.71,7100,4250,2607,60.92,37.37,23.550000000000004,-23.550000000000004,6976,1953,1024,3858.0,28.57,14.98,13.59,-13.59,6835
13029,Bryan,14244,6739,357,66.74,31.57,35.169999999999995,-35.169999999999995,21340,14067,6497,66.46,30.69,35.769999999999996,-35.769999999999996,21163,7950,3941,8993.0,38.06,18.87,19.19,-19.19,20884
