UniqueID,County,Precinct,Donald_J_Trump,Joe_R_Biden,Jo_Jorgensen,Don_Per,Joe_Per,Joe_MOV,Total_Pres,David_A_Purdue,Jon_Ossoff,Pur_Per,Oss_Per,Oss_MOV,Total_Sen1,Kelly_Loeffler,Raphael_Warnock,Loe_Per,War_Per,War_MOV,Others,Total_Sen2
"Appling,1B",Appling,1B,870,116,7,87.61,11.68,24.07,993,828,134,84.66,13.7,29.04,978,271,72,27.79,7.38,79.59,632,975
"Appling,1C",Appling,1C,594,44,2,92.81,6.87,14.06,640,579,44,92.05,6.99,14.94,629,141,27,22.59,4.32,81.73,456,624
"Appling,2",Appling,2,531,908,9,36.67,62.7,126.03,1448,514,864,36.45,61.27,124.82,1410,145,559,10.24,39.5,129.26,711,1415
"Appling,3A1",Appling,3A1,587,20,4,96.07,3.27,7.2,611,570,25,95,4.16,9.16,600,179,12,29.98,2.01,72.03,406,597
"Appling,3C",Appling,3C,843,288,4,74.27,25.37,51.1,1135,819,281,72.99,25.04,52.05,1122,191,156,17.22,14.06,96.84,762,1109
"Appling,4B",Appling,4B,647,23,2,96.27,3.42,7.15,672,639,25,95.94,3.75,7.81,666,241,12,36.29,1.8,65.51,411,664
"Appling,4D",Appling,4D,1048,130,1,88.88,11.02,22.14,1179,1021,129,87.63,11.07,23.44,1165,261,72,22.67,6.25,83.58,818,1151
"Appling,5A",Appling,5A,697,118,5,85,14.39,29.39,820,660,115,83.33,14.52,31.19,792,170,65,21.25,8.12,86.87,565,800
"Appling,5B",Appling,5B,709,132,2,84.1,15.65,31.55,843,676,136,81.93,16.48,34.55,825,208,76,25.24,9.22,83.98,540,824
"Atkinson,Pearson County",Atkinson,Pearson County,1026,160,11,85.71,13.36,27.65,1197,1008,164,85.06,13.83,28.77,1185,442,74,38.6,6.46,67.86,629,1145
"Atkinson,Axson",Atkinson,Axson,479,45,3,90.89,8.53,17.64,527,461,46,89.16,8.89,19.73,517,166,19,33.46,3.83,70.37,311,496
"Atkinson,Willacoochee",Atkinson,Willacoochee,566,291,10,65.28,33.56,68.28,867,565,270,66.31,31.69,65.38,852,238,156,28.74,18.84,90.1,434,828
"Atkinson,Pearson City",Atkinson,Pearson City,229,329,6,40.6,58.33,117.73,564,238,293,43.83,53.95,110.12,543,100,157,19.01,29.84,110.83,269,526
"Bacon,Douglas",Bacon,Douglas,4018,625,25,86.07,13.38,27.31,4668,3929,591,85.59,12.87,27.28,4590,1547,315,34.28,6.98,72.7,2650,4512
"Baker,Anna",Baker,Anna,93,31,0,75,25,50,124,94,28,77.04,22.95,45.91,122,52,16,42.97,13.22,70.25,53,121
"Baker,Elmodel",Baker,Elmodel,141,148,0,48.78,51.21,102.43,289,136,147,47.38,51.21,103.83,287,61,94,21.4,32.98,111.58,130,285
"Baker,Hoggards Mill",Baker,Hoggards Mill,120,111,3,51.28,47.43,96.15,234,114,115,49.56,50,100.44,230,52,69,23.85,31.65,107.8,97,218
