GEOID,name,leader_party_id,state,retrieved_time
13001,Appling,republican,georgia,15/11/2020 01:43
13003,Atkinson,republican,georgia,15/11/2020 01:43
13005,Bacon,republican,georgia,15/11/2020 01:43
13007,Baker,republican,georgia,15/11/2020 01:43
13009,Baldwin,democrat,georgia,15/11/2020 01:43
13011,Banks,republican,georgia,15/11/2020 01:43
13013,Barrow,republican,georgia,15/11/2020 01:43
13015,Bartow,republican,georgia,15/11/2020 01:43
13017,Ben Hill,republican,georgia,15/11/2020 01:43
13019,Berrien,republican,georgia,15/11/2020 01:43
13021,Bibb,democrat,georgia,15/11/2020 01:43
13023,Bleckley,republican,georgia,15/11/2020 01:43
13025,Brantley,republican,georgia,15/11/2020 01:43
13027,Brooks,republican,georgia,15/11/2020 01:43
13029,Bryan,republican,georgia,15/11/2020 01:43
13031,Bulloch,republican,georgia,15/11/2020 01:43
13033,Burke,republican,georgia,15/11/2020 01:43
13035,Butts,republican,georgia,15/11/2020 01:43
13037,Calhoun,democrat,georgia,15/11/2020 01:43
13039,Camden,republican,georgia,15/11/2020 01:43
13043,Candler,republican,georgia,15/11/2020 01:43
13045,Carroll,republican,georgia,15/11/2020 01:43
13047,Catoosa,republican,georgia,15/11/2020 01:43
13049,Charlton,republican,georgia,15/11/2020 01:43
13051,Chatham,democrat,georgia,15/11/2020 01:43
13053,Chattahoochee,republican,georgia,15/11/2020 01:43
13055,Chattooga,republican,georgia,15/11/2020 01:43
13057,Cherokee,republican,georgia,15/11/2020 01:43
13059,Clarke,democrat,georgia,15/11/2020 01:43
13061,Clay,democrat,georgia,15/11/2020 01:43
13063,Clayton,democrat,georgia,15/11/2020 01:43
13065,Clinch,republican,georgia,15/11/2020 01:43
13067,Cobb,democrat,georgia,15/11/2020 01:43
13069,Coffee,republican,georgia,15/11/2020 01:43
13071,Colquitt,republican,georgia,15/11/2020 01:43
13073,Columbia,republican,georgia,15/11/2020 01:43
13075,Cook,republican,georgia,15/11/2020 01:43
13077,Coweta,republican,georgia,15/11/2020 01:43
13079,Crawford,republican,georgia,15/11/2020 01:43
13081,Crisp,republican,georgia,15/11/2020 01:43
13083,Dade,republican,georgia,15/11/2020 01:43
13085,Dawson,republican,georgia,15/11/2020 01:43
13089,DeKalb,democrat,georgia,15/11/2020 01:43
13087,Decatur,republican,georgia,15/11/2020 01:43
13091,Dodge,republican,georgia,15/11/2020 01:43
13093,Dooly,republican,georgia,15/11/2020 01:43
13095,Dougherty,democrat,georgia,15/11/2020 01:43
13097,Douglas,democrat,georgia,15/11/2020 01:43
13099,Early,republican,georgia,15/11/2020 01:43
13101,Echols,republican,georgia,15/11/2020 01:43
13103,Effingham,republican,georgia,15/11/2020 01:43
13105,Elbert,republican,georgia,15/11/2020 01:43
13107,Emanuel,republican,georgia,15/11/2020 01:43
13109,Evans,republican,georgia,15/11/2020 01:43
13111,Fannin,republican,georgia,15/11/2020 01:43
13113,Fayette,republican,georgia,15/11/2020 01:43
13115,Floyd,republican,georgia,15/11/2020 01:43
13117,Forsyth,republican,georgia,15/11/2020 01:43
13119,Franklin,republican,georgia,15/11/2020 01:43
13121,Fulton,democrat,georgia,15/11/2020 01:43
13123,Gilmer,republican,georgia,15/11/2020 01:43
13125,Glascock,republican,georgia,15/11/2020 01:43
13127,Glynn,republican,georgia,15/11/2020 01:43
13129,Gordon,republican,georgia,15/11/2020 01:43
13131,Grady,republican,georgia,15/11/2020 01:43
13133,Greene,republican,georgia,15/11/2020 01:43
13135,Gwinnett,democrat,georgia,15/11/2020 01:43
13137,Habersham,republican,georgia,15/11/2020 01:43
13139,Hall,republican,georgia,15/11/2020 01:43
13141,Hancock,democrat,georgia,15/11/2020 01:43
13143,Haralson,republican,georgia,15/11/2020 01:43
13145,Harris,republican,georgia,15/11/2020 01:43
