leader_party_id,state,GEOID,winner
democrat,alabama,AL,republican
republican,alaska,AK,republican
democrat,arizona,AZ,democrat
democrat,arkansas,AR,republican
republican,california,CA,democrat
republican,colorado,CO,democrat
democrat,connecticut,CT,democrat
democrat,delaware,DE,democrat
republican,district-of-columbia,DC,democrat
democrat,florida,FL,republican
republican,georgia,GA,democrat
democrat,hawaii,HI,democrat
republican,idaho,ID,republican
democrat,illinois,IL,democrat
republican,indiana,IN,republican
democrat,iowa,IA,republican
democrat,kansas,KS,republican
republican,kentucky,KY,republican
republican,louisiana,LA,republican
democrat,maine,ME,democrat
democrat,maryland,MD,democrat
republican,massachusetts,MA,democrat
democrat,michigan,MI,democrat
republican,minnesota,MN,democrat
democrat,mississippi,MS,republican
,missouri,MO,republican
republican,montana,MT,republican
democrat,nebraska,NE,republican
republican,nevada,NV,democrat
democrat,new-hampshire,NH,democrat
republican,new-jersey,NJ,democrat
democrat,new-mexico,NM,democrat
republican,new-york,NY,democrat
democrat,north-carolina,NC,republican
republican,north-dakota,ND,republican
democrat,ohio,OH,republican
republican,oklahoma,OK,republican
democrat,oregon,OR,democrat
republican,pennsylvania,PA,democrat
democrat,rhode-island,RI,democrat
democrat,south-carolina,SC,republican
republican,south-dakota,SD,republican
democrat,tennessee,TN,republican
republican,texas,TX,republican
democrat,utah,UT,republican
democrat,vermont,VT,democrat
republican,virginia,VA,democrat
republican,washington,WA,democrat
democrat,west-virginia,WV,republican
republican,wisconsin,WI,democrat
democrat,wyoming,WY,democrat
