County,TrumpTot,BidenTot,Total,Trump,Biden,Margin
01A,247,2579,2851,9%,90%,82%
01B,301,2984,3327,9%,90%,81%
01C,49,717,779,6%,92%,86%
01D,34,435,472,7%,92%,85%
01E,287,2435,2759,10%,88%,78%
01F,34,481,521,7%,92%,86%
01G,87,1159,1263,7%,92%,85%
01H,16,405,425,4%,95%,92%
01I,1,0,1,100%,0%,-100%
01J,72,1287,1377,5%,93%,88%
01P,28,603,638,4%,95%,90%
01R,37,468,517,7%,91%,83%
01S,56,928,994,6%,93%,88%
01T,67,808,886,8%,91%,84%
02A,666,2975,3695,18%,81%,62%
02A1,88,354,450,20%,79%,59%
02B,168,1242,1431,12%,87%,75%
02C,138,1175,1324,10%,89%,78%
02D,478,3200,3724,13%,86%,73%
02E,143,1463,1622,9%,90%,81%
02F1,280,2092,2409,12%,87%,75%
02F2,65,432,504,13%,86%,73%
02G,349,2523,2916,12%,87%,75%
02J,163,1412,1608,10%,88%,78%
02K,135,924,1073,13%,86%,74%
02L1,668,3440,4168,16%,83%,67%
02L1A,115,724,847,14%,85%,72%
02L2,222,1314,1546,14%,85%,71%
02S,43,450,502,9%,90%,81%
02W,104,544,655,16%,83%,67%
03A,41,777,825,5%,94%,89%
03B,16,213,232,7%,92%,85%
03C,27,728,766,4%,95%,92%
03D,29,433,463,6%,94%,87%
03E,71,1024,1110,6%,92%,86%
03F,242,1253,1503,16%,83%,67%
03G,14,272,289,5%,94%,89%
03H,33,388,423,8%,92%,84%
03I,89,559,664,13%,84%,71%
03L,16,206,224,7%,92%,85%
03M,88,455,553,16%,82%,66%
03N,48,870,933,5%,93%,88%
03P1A,313,2118,2471,13%,86%,73%
03P2,0,7,7,0%,100%,100%
03S,20,408,428,5%,95%,91%
03T,44,781,836,5%,93%,88%
04A,20,580,609,3%,95%,92%
04B,33,758,798,4%,95%,91%
04C,1,51,52,2%,98%,96%
04D,33,812,857,4%,95%,91%
04F,114,1145,1275,9%,90%,81%
04G,19,388,411,5%,94%,90%
04I,71,769,849,8%,91%,82%
04J,9,183,196,5%,93%,89%
04K,67,1273,1352,5%,94%,89%
04L,60,929,995,6%,93%,87%
04M,15,328,346,4%,95%,90%
